Survey ID,cat,polarity,polarity_score,sentence
110020182,Product Quality,positive,0.9948937892913818,"Excllent quality; easy to order, received promptly."
110020182,Customer Service,positive,0.9948937892913818,"Excllent quality; easy to order, received promptly."
123460320,Price,positive,0.9858822226524353,Great price and arrived even earlier than stated.
133472112,Price,positive,0.930846631526947,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product."
133472112,Product Quality,positive,0.930846631526947,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product."
133472112,Customer Service,positive,0.930846631526947,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product."
133472112,Delivery,positive,0.930846631526947,"Price competitive with other sources, but delivery claimed to be faster. Was delivered as predicted, which greatly appreciated. The expiration date could have been a bit longer but should be ok. Product normally buy as recommended by manufacturer of machine using this product."
134626563,Others,positive,0.9284825921058655,[This review was collected as part of a promotion.] The HP cartridge has lasted longer than any black ink cartridge that I normally purchase
172491173,Product Quality,positive,0.9575876593589783,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.
172497739,Price,positive,0.9807231426239014,Great price for an item I use all the time
181601745,Product Quality,positive,0.8776103854179382,Received the proper ink I ordered even faster than expected. It appears to be fresh and prints just fine as expected. Will order again.
181601745,Customer Service,positive,0.8776103854179382,Received the proper ink I ordered even faster than expected. It appears to be fresh and prints just fine as expected. Will order again.
182986266,Product Quality,positive,0.9575876593589783,I am so pleased with the supply of ink in this small cartridge. It's so much better than ordering the regular cartridge more often.
183006613,Price,positive,0.9677453637123108,little pricey but happy with it.
245962716,Product Quality,positive,0.9542422294616699,Good product. No less expensive substitute available. Must always have ink backup for printer.
311577643,Product Quality,positive,0.9623048305511475,Great quality of printers ink.  Easy ordering through Walmart .
341475319,Product Quality,positive,0.5573629140853882,Printer calls for 65 but this one would not sink with the printer. Replace empty printer cartridge and it would print even though it was out of ink. Never had any previous problem with HP.
341475319,Customer Service,positive,0.5573629140853882,Printer calls for 65 but this one would not sink with the printer. Replace empty printer cartridge and it would print even though it was out of ink. Never had any previous problem with HP.
360697737,Price,negative,0.9320382475852966,"I have tried to ask.fir help we have put new cartridges in and it won’t work abd is not letting me actually print out a decent piece of work . These are YOUR cartridges but you have ignored me trying to get it sorted . All get is a pink colour which is useless  so of no use at all this was a very expensive printer and it’s appalling that I have had no help whatsoever to get this up and running . I object to having to put in copious pieces of paper before it would print which makes the ink
Disappear so fast when it did work which wasn’t for very long . Absolute crap as far as I am concerned !!!"
360697737,Product Quality,negative,0.9320382475852966,"I have tried to ask.fir help we have put new cartridges in and it won’t work abd is not letting me actually print out a decent piece of work . These are YOUR cartridges but you have ignored me trying to get it sorted . All get is a pink colour which is useless  so of no use at all this was a very expensive printer and it’s appalling that I have had no help whatsoever to get this up and running . I object to having to put in copious pieces of paper before it would print which makes the ink
Disappear so fast when it did work which wasn’t for very long . Absolute crap as far as I am concerned !!!"
360697737,Customer Service,negative,0.9320382475852966,"I have tried to ask.fir help we have put new cartridges in and it won’t work abd is not letting me actually print out a decent piece of work . These are YOUR cartridges but you have ignored me trying to get it sorted . All get is a pink colour which is useless  so of no use at all this was a very expensive printer and it’s appalling that I have had no help whatsoever to get this up and running . I object to having to put in copious pieces of paper before it would print which makes the ink
Disappear so fast when it did work which wasn’t for very long . Absolute crap as far as I am concerned !!!"
369656281,Price,positive,0.4217020869255066,"The printer is okay. However, the ink cartridges are too expensive."
369656281,Product Quality,positive,0.4217020869255066,"The printer is okay. However, the ink cartridges are too expensive."
370555451,Product Quality,negative,0.922923743724823,The very first shipment of ink cartridges contained the wrong type of color cartridge. I used it and now I haven't been able to print in color despite exhausting all the trouble shooting tips. I don't remember when I bought the printer but it was after the very first shipment of ink.
372331830,Others,negative,0.9037172794342041,"I was going to  sign up for the replacement order but feel the colour ink does not last at all well sadly, had this printer less than 2 months and it's already running low and I've printed less than 15 sheets in colour"
372525403,Product Quality,negative,0.735264241695404,the printer is good quality.  but i got stocked with it with no use because i was suscribed to automatic ink delivery and i have been trying to use it with no good results.  it ask my payment or something very complicated for me.
372870081,Others,negative,0.9661151170730591,"I think its rediculous that if I cancel my subscription, that I can't use the ink I already have.  My usage changes from month to month, and I don't need to subscribe - but don't wnat to lose the ink I already have.  I will never recommend this to anyone."
373085725,Others,negative,0.9529900550842285,"when the instant ink service started instead of being delivered it was taken to a post office for me to pick up, this is not convenient I may as well just go to the store and buy ink when I need it. I will be cancelling this service. this seems the only option to contact hp when possibly a person may read the feedback, your app and website appear to have zero options to contact actual humans"
373115520,Customer Service,negative,0.8591881394386292,Took too long to figure out how to get connected to internet to even get an ink account set up
373126083,Price,negative,0.9509686827659607,"The price of ink and the printer does a lot of maintenance on itself making you wait to print one page longer than I like. Plus I hate the instant ink subscription program. I had a lot of problems with it on my other HP printer. Substitute cartridges, would not let me use HP ink I bought when I was out and needed to print. I would NOT recommend that program. I gave friends against HP because of that ink program."
373126083,Product Quality,negative,0.9509686827659607,"The price of ink and the printer does a lot of maintenance on itself making you wait to print one page longer than I like. Plus I hate the instant ink subscription program. I had a lot of problems with it on my other HP printer. Substitute cartridges, would not let me use HP ink I bought when I was out and needed to print. I would NOT recommend that program. I gave friends against HP because of that ink program."
373410460,Customer Service,negative,0.9751452207565308,"Frequent down-times and restorations needed.  Unstable process/printing.  I do not appreciate the need to be locked into a program of ink usage that involves both cartridge and paper renewal.  I bought several cartridges labeled to be specifically designed for my printer, but each time, they were rejected by your printer.  Too much ado about nothing.  It’s too customer unfriendly."
373411622,Price,negative,0.9508978724479675,"My first printer was messed up after several fail attempts and multiple hours on the phone i was finally able to get a working printer however it wasnt made clear by the package or any other details that The printer can not be used without internet. I feel i was scamed. $130 dollars of nothibg but problems. It is difficult to work because it would disconnect after each print, it never connected easy, then the wonderful get 6 mo free instant ink is a joke. It took 2 months to get ink. QI didn't receive ink yet I was charged several several months. Sorry HP but you dropped the ball on this one. If I could i would get my money back and give you this horrible printer back. I still own the printer because I refuse to give this problem box to anyone."
373411622,Product Quality,negative,0.9508978724479675,"My first printer was messed up after several fail attempts and multiple hours on the phone i was finally able to get a working printer however it wasnt made clear by the package or any other details that The printer can not be used without internet. I feel i was scamed. $130 dollars of nothibg but problems. It is difficult to work because it would disconnect after each print, it never connected easy, then the wonderful get 6 mo free instant ink is a joke. It took 2 months to get ink. QI didn't receive ink yet I was charged several several months. Sorry HP but you dropped the ball on this one. If I could i would get my money back and give you this horrible printer back. I still own the printer because I refuse to give this problem box to anyone."
373411622,Customer Service,negative,0.9508978724479675,"My first printer was messed up after several fail attempts and multiple hours on the phone i was finally able to get a working printer however it wasnt made clear by the package or any other details that The printer can not be used without internet. I feel i was scamed. $130 dollars of nothibg but problems. It is difficult to work because it would disconnect after each print, it never connected easy, then the wonderful get 6 mo free instant ink is a joke. It took 2 months to get ink. QI didn't receive ink yet I was charged several several months. Sorry HP but you dropped the ball on this one. If I could i would get my money back and give you this horrible printer back. I still own the printer because I refuse to give this problem box to anyone."
373423733,Price,negative,0.9507076740264893,"The first 2 deliveries defective ink cartridges were sent.  Also, I notice the price has increased to over $7.00 and I was not notified about this and no explanation was given.  The Quality Control and Customer Communication need to improve."
373423733,Product Quality,negative,0.9507076740264893,"The first 2 deliveries defective ink cartridges were sent.  Also, I notice the price has increased to over $7.00 and I was not notified about this and no explanation was given.  The Quality Control and Customer Communication need to improve."
373423733,Customer Service,negative,0.9507076740264893,"The first 2 deliveries defective ink cartridges were sent.  Also, I notice the price has increased to over $7.00 and I was not notified about this and no explanation was given.  The Quality Control and Customer Communication need to improve."
373423733,Delivery,negative,0.9507076740264893,"The first 2 deliveries defective ink cartridges were sent.  Also, I notice the price has increased to over $7.00 and I was not notified about this and no explanation was given.  The Quality Control and Customer Communication need to improve."
373443754,Others,positive,0.6201336979866028,"It’s easy to use. It updates itself!
Pictures come outstanding when pictures are on something your printing.
And when your almost out of ink you get a notice in your email, just press yes and you have fresh ink with in 5 days or less!
Pretty simple machine to operate!"
373580949,Product Quality,positive,0.3483714759349823,"Well, I've not used it very much yet. I don't know how well the ink lasts, etc. Maybe after a couple of months you might get a 10."
373747397,Others,negative,0.9132663607597351,"Needed a printer that I could print from anywhere.  Found this one & connecting was no problem - actually very easy.  Ordered the ink even though I don't use the printer that often but was convenient.  Worked first few times I have used it now I'm back to the same problem as my previous HP printer - ""printer off line""!!!  This is SO  frustrating!!  Restarting my computer to try to get it to work again!!!"
373757513,Price,positive,0.4565792977809906,price higher than elsewhere
373798231,Customer Service,negative,0.9886163473129272,"Unacceptable delivery delays, I had to go tithe store buy some ink since I was getting delays notifications. Delivery should be fast and easy in 2024 for a large organization like HP, that’s why I’m not satisfied with the service. Thank you."
373798231,Delivery,negative,0.9886163473129272,"Unacceptable delivery delays, I had to go tithe store buy some ink since I was getting delays notifications. Delivery should be fast and easy in 2024 for a large organization like HP, that’s why I’m not satisfied with the service. Thank you."
373818233,Price,negative,0.9517755508422852,I bought your instant ink monthly plan.  You shut don’t my office because cause a $6 charge did not go thought.  If you had email me I could have fix the problem. You cost me a lot of money because my credit card had to be change. I have tried to cancel your ink but you have no way to do this on your Wed link. I will likely not buy a HP device again.
373818233,Product Quality,negative,0.9517755508422852,I bought your instant ink monthly plan.  You shut don’t my office because cause a $6 charge did not go thought.  If you had email me I could have fix the problem. You cost me a lot of money because my credit card had to be change. I have tried to cancel your ink but you have no way to do this on your Wed link. I will likely not buy a HP device again.
373818233,Customer Service,negative,0.9517755508422852,I bought your instant ink monthly plan.  You shut don’t my office because cause a $6 charge did not go thought.  If you had email me I could have fix the problem. You cost me a lot of money because my credit card had to be change. I have tried to cancel your ink but you have no way to do this on your Wed link. I will likely not buy a HP device again.
374033955,Others,positive,0.9790927171707153,It's very easy setup and easy to use 👌 ink is sent out as soon as you start to run low very convenient. All round great.
374183966,Product Quality,negative,0.5776878595352173,"Mainly because the cartridges dry out quite quick unless you’re doing printing, at least every couple of weeks."
374187447,Product Quality,negative,0.8432410955429077,"The ink cartridges that came with the printer were defective.  HP replaced them. 

 I have problems with the new cartridges.

The color ones indicate they are empty even though I only print in black.  The black leaked.  I have photos of the spilled ink.

The printer responds to voice phone calls as if they were a fax."
